,name,position,country,overall_rating,dribbling,freekick_accuracy,agility,ball_control,interceptions,penalties
15,Sherif Ekramy Ahmed Ahmed El-Shahat,GK,Egypt,69.0,12.0,13.0,42.0,24.0,15.0,15.0
16,Mohamed Naser Elsayed Elneny,MF,Egypt,77.0,68.0,56.0,65.0,76.0,76.0,62.0
17,Mahmoud Abdelrazek Hassan Fadlala,FW,Egypt,71.0,77.0,75.0,76.0,75.0,29.0,69.0
18,Abdallah Mahmoud Said Bekhit,MF,Egypt,71.0,71.0,76.0,79.0,74.0,42.0,71.0
19,Saad El-Din Samir Saad Ali,DF,Egypt,70.52631578947368,67.05263157894737,54.10526315789474,69.63157894736842,67.89473684210526,43.0,56.526315789473685
20,Mahmoud Ahmed Ibrahim Hassan,MF,Egypt,78.0,83.0,63.0,78.0,78.0,22.0,66.0
21,Amr Medhat Mohsen Warda,FW,Egypt,72.0,77.0,74.0,65.0,72.0,18.0,63.0
22,Mohamed El Sayed Mohamed El Shenawy Gomaa,GK,Egypt,66.0,71.0,41.0,79.0,68.0,24.0,48.0
23,Igor Vladimirovich Akinfeev,GK,Russia,80.0,15.0,13.0,53.0,22.0,17.0,10.0
24,Mário Figueira Fernandes,DF,Russia,73.0,74.0,53.0,91.0,71.0,34.0,67.0
25,Ilya Olegovich Kutepov,DF,Russia,74.0,38.0,55.0,48.0,54.0,83.0,36.0
26,Sergei Nikolayevich Ignashevich,DF,Russia,74.4,62.0,49.6,66.6,64.3,54.65,50.1
27,Andrei Sergeyevich Semyonov,DF,Russia,74.0,55.0,36.0,43.0,70.0,75.0,51.0
28,Denis Dmitriyevich Cheryshev,MF,Russia,78.0,80.0,61.0,77.0,76.0,61.0,64.0
29,Daler Adyamovich Kuzyayev,MF,Russia,77.0,78.0,61.0,80.0,79.0,74.0,63.0
30,Yury Aleksandrovich Gazinsky,MF,Russia,75.0,67.0,44.0,59.0,75.0,75.0,55.0
31,Alan Yelizbarovich Dzagoev,MF,Russia,74.4,62.0,49.6,66.6,64.3,54.65,50.1
32,Fyodor Mikhaylovich Smolov,FW,Russia,81.0,77.0,69.0,75.0,78.0,32.0,74.0
33,Roman Sergeyevich Zobnin,MF,Russia,79.0,82.0,65.0,70.0,82.0,75.0,57.0
34,Andrey Yevgenyevich Lunyov,GK,Russia,79.0,15.0,17.0,36.0,17.0,20.0,15.0
35,Fyodor Vasilievich Kudryashov,DF,Russia,73.0,61.0,41.0,74.0,69.0,74.0,46.0
36,Vladimir Vasilyevich Granat,DF,Russia,72.0,48.0,54.0,65.0,50.0,74.0,41.0
37,Aleksei Andreyevich Miranchuk,MF,Russia,77.0,78.0,53.0,77.0,79.0,36.0,57.0
38,Anton Andreyevich Miranchuk,MF,Russia,73.0,71.0,67.0,72.0,73.0,22.0,71.0
39,Aleksandr Sergeyevich Golovin,MF,Russia,78.0,84.0,79.0,82.0,82.0,70.0,52.0
40,Yuri Valentinovich Zhirkov,MF,Russia,74.4,62.0,49.6,66.6,64.3,54.65,50.1
41,Aleksandr Sergeyevich Samedov,MF,Russia,73.0,75.0,65.0,65.0,74.0,28.0,60.0
42,Vladimir Borisovich Gabulov,GK,Russia,64.0,71.0,36.0,80.0,61.0,47.0,42.0
43,Aleksandr Yuryevich Yerokhin,MF,Russia,74.0,73.0,54.0,63.0,73.0,73.0,65.0
44,Artem,FW,Russia,55.0,26.0,23.0,42.0,29.0,52.0,35.0
45,Igor Aleksandrovich Smolnikov,DF,Russia,79.0,72.0,46.0,80.0,72.0,71.0,41.0
46,Abdullah Ibrahim Abdullah Al-Mayouf,GK,Saudi Arabia,66.0,19.0,15.0,43.0,15.0,18.0,17.0
47,Mansoor Ateeg Al-Sobhi Al-Harbi,DF,Saudi Arabia,68.0,65.0,48.0,74.0,64.0,59.0,33.0
48,Osama Hawsawi,DF,Saudi Arabia,55.0,12.0,10.0,34.0,13.0,7.0,11.0
49,Ali bin Hadi bin Mohammed Al-Bulaihi,DF,Saudi Arabia,68.0,34.0,23.0,37.0,50.0,65.0,45.0
50,Omar Hawsawi,DF,Saudi Arabia,55.0,12.0,10.0,34.0,13.0,7.0,11.0
51,Mohammed bin Ibrahim bin Mohammed Al-Breik,DF,Saudi Arabia,71.0,69.0,67.0,65.0,70.0,63.0,55.0
52,Salman bin Mohammed bin Mohammed Al-Faraj,MF,Saudi Arabia,73.0,71.0,66.0,81.0,75.0,65.0,61.0
53,Yahya Sulaiman Ali al-Shehri,MF,Saudi Arabia,70.0,71.0,63.0,80.0,69.0,43.0,61.0
54,Hattan bin Sultan bin Ahmed Bahebri,MF,Saudi Arabia,68.0,70.0,48.0,81.0,68.0,42.0,42.0
55,Mohammad Ibrahim Mohammad Al-Sahlawi,FW,Saudi Arabia,54.0,38.0,24.0,46.0,55.0,47.0,35.0
56,Abdulmalek Abdullah Al-Khaibri,MF,Saudi Arabia,68.0,53.0,37.0,67.0,63.0,72.0,46.0
57,Mohamed bin Ibrahim bin Abdullah Kanno,MF,Saudi Arabia,70.0,68.0,52.0,73.0,74.0,66.0,59.0
58,Yasser bin Gharsan bin Saeed Al-Mohammadi Al-Shahrani,DF,Saudi Arabia,72.0,67.0,65.0,80.0,70.0,71.0,62.0
59,Abdullah bin Ibrahim bin Yahya Otayf,MF,Saudi Arabia,71.0,62.0,53.0,62.0,75.0,69.0,58.0
60,Abdullah Al-Khaibari,MF,Saudi Arabia,64.0,56.0,39.0,63.0,63.0,60.0,40.0
61,Housain Ali Al-Mogahwi,MF,Saudi Arabia,70.0,71.0,59.0,73.0,70.0,58.0,49.0
62,Taiseer Jaber Al-Jassim,MF,Saudi Arabia,72.0,70.0,73.0,80.0,73.0,70.0,75.0
63,Salem bin Mohammed bin Shafi Al-Dawsari,MF,Saudi Arabia,73.0,78.0,60.0,82.0,72.0,37.0,62.0
64,Fahad Mosaed al-Muwallad,FW,Saudi Arabia,72.0,71.0,48.0,78.0,68.0,45.0,69.0
65,Muhannad Ahmed Abu Radeah Assiri,FW,Saudi Arabia,67.0,61.0,52.0,69.0,66.0,28.0,65.0
66,Yasser Abdullah Nasser Al-Mosailem,GK,Saudi Arabia,68.0,16.0,14.0,49.0,17.0,13.0,20.0
67,Mohammed bin Khalil bin Ibrahim Al-Owais,GK,Saudi Arabia,71.0,14.0,16.0,37.0,17.0,24.0,19.0
68,Motaz Ali Hassan Hawsawi,DF,Saudi Arabia,72.0,46.0,33.0,63.0,60.0,73.0,43.0
69,Néstor Fernando Muslera Micol,GK,Uruguay,81.0,25.0,10.0,68.0,23.0,23.0,24.0
70,José María Giménez de Vargas,DF,Uruguay,84.0,47.0,44.0,56.0,56.0,85.0,38.0
71,Diego Roberto Godín Leal,DF,Uruguay,78.0,77.0,60.0,85.0,78.0,64.0,49.0
72,Guillermo Varela Olivera,DF,Uruguay,70.0,20.0,21.0,30.0,16.0,24.0,30.0
73,Carlos Andrés Sánchez Arcosa,MF,Uruguay,66.0,58.0,31.0,58.0,67.0,62.0,40.0
74,Rodrigo Bentancur Colman,MF,Uruguay,78.0,84.0,49.0,68.0,85.0,66.0,50.0
75,Cristian Gabriel Rodríguez Barotti,MF,Uruguay,54.0,58.0,39.0,82.0,51.0,20.0,41.0
76,Nahitan Michel Nández Acosta,MF,Uruguay,76.0,74.0,52.0,81.0,76.0,78.0,55.0
77,Luis Alberto Suárez Díaz,FW,Uruguay,91.0,86.0,84.0,82.0,88.0,41.0,85.0
78,Giorgian Daniel de Arrascaeta Benedetti,FW,Uruguay,70.9090909090909,62.40909090909091,45.54545454545455,69.5909090909091,63.95454545454545,51.77272727272727,47.90909090909091
79,Cristhian Ricardo Stuani Curbelo,FW,Uruguay,81.0,78.0,57.0,65.0,79.0,36.0,85.0
80,Martín Nicolás Campaña Delgado,GK,Uruguay,67.0,64.0,39.0,79.0,66.0,61.0,43.0
81,Gastón Alexis Silva Perdomo,DF,Uruguay,73.0,66.0,74.0,68.0,71.0,73.0,57.0
82,Lucas Sebastián Torreira Di Pascua,MF,Uruguay,82.0,78.0,78.0,85.0,81.0,86.0,48.0
83,Matías Vecino Falero,MF,Uruguay,62.0,62.0,31.0,72.0,61.0,60.0,45.0
84,Victorio Maximiliano,DF,Uruguay,68.0,73.0,47.0,77.0,75.0,20.0,54.0
85,Diego Sebastián Laxalt Suárez,MF,Uruguay,60.0,50.0,34.0,66.0,49.0,52.0,38.0
86,Maximiliano,FW,Uruguay,69.0,71.0,51.0,80.0,70.0,32.0,44.0
87,Sebastián Coates Nion,DF,Uruguay,57.0,57.0,36.0,59.0,60.0,43.0,43.0
88,Jonathan Matías Urretaviscaya da Luz,FW,Uruguay,61.0,65.0,46.0,54.0,64.0,18.0,60.0
89,Edinson Roberto Cavani Gómez,FW,Uruguay,51.0,48.0,40.0,55.0,52.0,43.0,34.0
90,José Martín Cáceres Silva,DF,Uruguay,78.0,60.0,41.0,79.0,66.0,80.0,50.0
91,Martín Andrés Silva Leites,GK,Uruguay,73.0,72.0,38.0,82.0,73.0,72.0,41.0
92,Alireza Safar Beiranvand,GK,Iran,67.33333333333333,57.05555555555556,46.22222222222222,63.94444444444444,58.44444444444444,47.27777777777778,47.0
93,Mehdi Torabi,MF,Iran,71.0,72.0,72.0,68.0,72.0,58.0,54.0
94,Ehsan Hajsafi,DF,Iran,70.0,74.0,74.0,79.0,72.0,41.0,71.0
95,Rouzbeh Cheshmi,MF,Iran,67.33333333333333,57.05555555555556,46.22222222222222,63.94444444444444,58.44444444444444,47.27777777777778,47.0
96,Milad Mohammadi,DF,Iran,73.0,19.0,16.0,43.0,31.0,22.0,25.0
97,Saeid Ezatolahi Afagh,MF,Iran,68.0,64.0,61.0,59.0,68.0,69.0,46.0
98,Masoud Soleimani Shojaei,MF,Iran,67.33333333333333,57.05555555555556,46.22222222222222,63.94444444444444,58.44444444444444,47.27777777777778,47.0
99,Morteza Pouraliganji,DF,Iran,57.0,25.0,14.0,34.0,28.0,59.0,13.0
100,Omid Ebrahimi Zarandini,MF,Iran,62.0,38.0,29.0,45.0,43.0,55.0,37.0
101,Karim Adil Ansarifard,FW,Iran,74.0,74.0,53.0,72.0,75.0,54.0,61.0
102,Vahid Amiri,MF,Iran,68.0,73.0,44.0,77.0,69.0,34.0,61.0
103,Mohammad Rashid Mazaheri,GK,Iran,64.0,61.0,52.0,65.0,59.0,36.0,40.0
104,Mohammad Reza Khanzadeh,DF,Iran,58.0,58.0,47.0,77.0,56.0,54.0,35.0
105,Saman Ghoddos,FW,Iran,75.0,75.0,81.0,84.0,76.0,38.0,62.0
106,Pejman Montazeri,DF,Iran,57.0,60.0,44.0,59.0,53.0,50.0,50.0
107,Reza Ghoochannejhad Nournia,FW,Iran,69.0,68.0,54.0,77.0,69.0,30.0,71.0
108,Mehdi Taremi,FW,Iran,67.0,72.0,44.0,66.0,67.0,68.0,53.0
109,Alireza Jahanbakhsh Jirandeh,FW,Iran,77.0,83.0,46.0,76.0,79.0,42.0,58.0
110,Seyed Majid Hosseini,DF,Iran,61.0,30.0,37.0,43.0,52.0,62.0,40.0
111,Sardar Azmoun,FW,Iran,68.0,71.0,50.0,74.0,68.0,65.0,58.0
112,Seyed Ashkan Dejagah,MF,Iran,67.33333333333333,57.05555555555556,46.22222222222222,63.94444444444444,58.44444444444444,47.27777777777778,47.0
113,Amir Abedzadeh,GK,Iran,73.0,10.0,14.0,53.0,15.0,14.0,11.0
114,Ramin Rezaeian Semeskandi,DF,Iran,67.33333333333333,57.05555555555556,46.22222222222222,63.94444444444444,58.44444444444444,47.27777777777778,47.0
115,Yassine Bounou,GK,Morocco,79.0,20.0,19.0,38.0,12.0,12.0,24.0
116,Achraf Hakimi Mouh,DF,Morocco,78.0,78.0,55.0,75.0,78.0,71.0,46.0
117,Hamza Mendyl,DF,Morocco,70.0,73.0,38.0,69.0,72.0,73.0,48.0
118,Manuel Marouane da Costa Trindade Senoussi,DF,Morocco,75.0,50.0,36.0,51.0,56.0,73.0,44.0
119,Medhi Amine El Mouttaqi Benatia,DF,Morocco,73.4090909090909,67.54545454545455,53.04545454545455,69.4090909090909,68.5,54.5,53.22727272727273
120,Romain Ghanem Paul Saïss,DF,Morocco,74.0,67.0,43.0,65.0,73.0,78.0,47.0
121,Hakim Ziyech,MF,Morocco,84.0,84.0,78.0,86.0,83.0,62.0,72.0
122,Karim El-Ahmadi Aroussi,MF,Morocco,77.0,73.0,50.0,74.0,76.0,75.0,69.0
123,Ayoub El Kaabi,FW,Morocco,67.0,66.0,33.0,65.0,62.0,14.0,64.0
124,Younès Belhanda,MF,Morocco,79.0,84.0,78.0,85.0,83.0,66.0,80.0
125,Fayçal Fajr,MF,Morocco,78.0,76.0,77.0,74.0,79.0,76.0,72.0
126,Munir Mohand Mohamedi El Kajoui,GK,Morocco,73.0,19.0,16.0,43.0,31.0,22.0,25.0
127,Khalid Boutaïb,FW,Morocco,59.0,59.0,44.0,66.0,63.0,54.0,48.0
128,Moubarak,MF,Morocco,75.0,75.0,57.0,81.0,76.0,74.0,36.0
129,Youssef Aït Bennasser,MF,Morocco,75.0,78.0,56.0,76.0,80.0,67.0,42.0
130,Noureddine,MF,Morocco,67.0,67.0,74.0,68.0,71.0,60.0,60.0
131,Nabil Dirar,DF,Morocco,75.0,77.0,62.0,76.0,78.0,55.0,52.0
132,Amine Harit,MF,Morocco,78.0,86.0,54.0,90.0,83.0,39.0,57.0
133,Youssef En-Nesyri,FW,Morocco,74.0,75.0,47.0,68.0,72.0,31.0,59.0
134,Aziz Bouhaddouz,FW,Morocco,70.0,63.0,64.0,58.0,68.0,33.0,73.0
135,Sofyan Amrabat,MF,Morocco,73.0,75.0,53.0,70.0,75.0,70.0,50.0
136,Ahmed Reda Tagnaouti,GK,Morocco,58.0,57.0,62.0,60.0,55.0,55.0,38.0
137,Mehdi François Carcela-González,MF,Morocco,77.0,84.0,71.0,89.0,81.0,39.0,65.0
138,Rui Pedro dos Santos Patrício,GK,Portugal,83.0,20.0,16.0,61.0,23.0,22.0,32.0
139,Bruno Eduardo Regufe Alves,DF,Portugal,73.0,64.0,78.0,66.0,63.0,63.0,73.0
140,Kepler Laveran de Lima Ferreira,DF,Portugal,85.0,58.0,47.0,63.0,62.0,85.0,57.0
141,Manuel Henrique Tavares Fernandes,MF,Portugal,69.0,37.0,32.0,51.0,48.0,71.0,37.0
142,Raphaël Adelino José Guerreiro,DF,Portugal,81.0,83.0,82.0,88.0,84.0,84.0,44.0
143,José Miguel da Rocha Fonte,DF,Portugal,65.0,7.0,10.0,36.0,14.0,7.0,14.0
144,Portuguese professional footballer,FW,Portugal,75.54545454545455,59.77272727272727,49.72727272727273,69.13636363636364,61.40909090909091,52.90909090909091,53.90909090909091
145,João Filipe Iria Santos Moutinho,MF,Portugal,67.0,61.0,54.0,68.0,64.0,65.0,61.0
146,André Miguel Valente da Silva,FW,Portugal,63.0,62.0,46.0,85.0,60.0,18.0,53.0
147,João Mário Naval da Costa Eduardo,MF,Portugal,81.0,83.0,67.0,81.0,83.0,72.0,66.0
148,Bernardo Mota Veiga de Carvalho e Silva,MF,Portugal,86.0,92.0,67.0,90.0,91.0,49.0,68.0
149,Anthony Lopes,GK,Portugal,85.0,15.0,14.0,67.0,21.0,25.0,16.0
150,Rúben dos Santos Gato Alves Dias,DF,Portugal,79.0,54.0,26.0,47.0,60.0,76.0,45.0
151,William Silva de Carvalho,MF,Portugal,83.0,78.0,50.0,51.0,80.0,81.0,60.0
152,Ricardo Domingos Barbosa Pereira,DF,Portugal,70.0,71.0,66.0,71.0,69.0,33.0,68.0
153,Bruno Miguel Borges Fernandes,MF,Portugal,66.0,56.0,42.0,67.0,61.0,30.0,72.0
154,Gonçalo Manuel Ganchinho Guedes,FW,Portugal,82.0,86.0,70.0,85.0,81.0,50.0,69.0
155,Gelson Dany Batalha Martins,FW,Portugal,81.0,85.0,60.0,94.0,81.0,43.0,66.0
156,Mário Rui Silva Duarte,DF,Portugal,69.0,73.0,71.0,66.0,70.0,65.0,67.0
157,Ricardo Andrade Quaresma Bernardo,FW,Portugal,63.0,64.0,48.0,74.0,62.0,61.0,51.0
158,Cédric Ricardo Alves Soares,DF,Portugal,77.0,75.0,64.0,74.0,76.0,74.0,60.0
159,António Alberto Bastos Pimparel,GK,Portugal,76.0,14.0,10.0,69.0,18.0,12.0,23.0
160,Adrien Sébastien Perruchet da Silva,MF,Portugal,78.0,77.0,74.0,67.0,80.0,78.0,84.0
161,David de Gea Quintana,GK,Spain,91.0,18.0,19.0,62.0,38.0,30.0,40.0
162,Daniel,DF,Spain,54.0,59.0,34.0,70.0,53.0,14.0,55.0
163,Gerard Piqué Bernabeu,DF,Spain,88.0,63.0,43.0,58.0,82.0,88.0,69.0
164,José Ignacio Fernández Iglesias,DF,Spain,83.0,55.0,37.0,60.0,78.0,81.0,45.0
165,Sergio Busquets Burgos,MF,Spain,89.0,80.0,68.0,66.0,88.0,87.0,60.0
166,Andrés Iniesta Luján,MF,Spain,85.0,88.0,70.0,79.0,91.0,65.0,71.0
167,Saúl Ñíguez Esclapez,MF,Spain,85.0,80.0,60.0,76.0,85.0,78.0,55.0
168,Jorge Resurrección Merodio,MF,Spain,85.0,80.0,76.0,74.0,85.0,72.0,59.0
169,Rodrigo Moreno Machado,FW,Spain,83.0,82.0,67.0,84.0,82.0,31.0,77.0
170,Thiago Alcântara do Nascimento,MF,Spain,87.0,90.0,77.0,90.0,90.0,78.0,75.0
171,Lucas Vázquez Iglesias,FW,Spain,83.0,82.0,71.0,86.0,82.0,62.0,56.0
172,Álvaro Odriozola Arzalluz,DF,Spain,80.0,69.0,30.0,78.0,77.0,75.0,62.0
173,Kepa Arrizabalaga Revuelta,GK,Spain,84.0,10.0,19.0,41.0,16.0,21.0,24.0
174,César Azpilicueta Tanco,DF,Spain,58.0,51.0,37.0,62.0,53.0,17.0,62.0
175,Sergio Ramos García,DF,Spain,90.0,65.0,72.0,78.0,83.0,88.0,82.0
176,Ignacio,DF,Spain,72.0,76.0,62.0,75.0,74.0,30.0,59.0
177,Iago Aspas Juncal,FW,Spain,84.0,86.0,76.0,87.0,85.0,39.0,82.0
178,Jordi Alba Ramos,DF,Spain,87.0,80.0,63.0,90.0,84.0,84.0,59.0
179,Diego da Silva Costa,FW,Spain,62.0,64.0,40.0,81.0,62.0,25.0,49.0
180,Marco Asensio Willemsen,MF,Spain,84.0,85.0,76.0,79.0,85.0,45.0,62.0
181,David Josué Jiménez Silva,FW,Spain,79.0,64.0,46.0,51.0,76.0,80.0,50.0
182,Francisco Román Alarcón Suárez,MF,Spain,62.0,30.0,21.0,52.0,58.0,62.0,40.0
183,José Manuel,GK,Spain,72.0,77.0,55.0,89.0,78.0,68.0,62.0
184,Mathew David Ryan,GK,Australia,80.0,13.0,12.0,53.0,24.0,23.0,25.0
185,Miloš Degenek,DF,Australia,74.0,58.0,44.0,78.0,64.0,70.0,58.0
186,James Gregory Meredith,DF,Australia,69.0,64.0,24.0,63.0,65.0,65.0,45.0
187,Timothy Filiga Cahill,FW,Australia,69.0,69.0,41.0,75.0,66.0,22.0,60.0
188,Mark Daniel Milligan,DF,Australia,72.0,62.0,62.0,64.0,66.0,68.0,80.0
189,Matthew John Jurman,DF,Australia,69.0,48.0,29.0,62.0,47.0,71.0,37.0
190,Mathew Allan Leckie,FW,Australia,75.0,76.0,36.0,75.0,75.0,54.0,69.0
191,Massimo Corey Luongo,MF,Australia,73.0,71.0,46.0,79.0,72.0,72.0,52.0
192,Tomi Juric,FW,Australia,69.0,67.0,60.0,54.0,66.0,48.0,73.0
193,Robbie Thomas Kruse,FW,Australia,72.0,70.0,54.0,75.0,72.0,40.0,65.0
194,Andrew Nabbout,FW,Australia,68.0,67.0,45.0,72.0,68.0,22.0,52.0
195,Bradley Scott Jones,GK,Australia,75.0,18.0,12.0,25.0,22.0,23.0,35.0
196,Aaron Frank Mooy,MF,Australia,78.0,74.0,72.0,69.0,79.0,71.0,73.0
197,Jamie Maclaren,FW,Australia,69.0,66.0,59.0,84.0,66.0,52.0,72.0
198,Michael John,MF,Australia,65.0,70.0,44.0,86.0,68.0,20.0,44.0
199,Aziz Eraltay Behich,DF,Australia,73.0,74.0,55.0,83.0,72.0,66.0,47.0
200,Daniel Arzani,FW,Australia,69.0,76.0,40.0,80.0,72.0,23.0,64.0
201,Daniel Vukovic,GK,Australia,74.0,11.0,13.0,41.0,18.0,17.0,37.0
202,Joshua Robert Risdon,DF,Australia,72.0,64.0,38.0,63.0,68.0,74.0,43.0
203,Trent Lucas Sainsbury,DF,Australia,74.0,55.0,25.0,67.0,55.0,77.0,63.0
204,Dimitrios Petratos,FW,Australia,70.0,69.0,70.0,85.0,67.0,45.0,62.0
205,Jackson Alexander Irvine,MF,Australia,71.0,67.0,63.0,62.0,71.0,69.0,55.0
206,Tomas Petar Rogic,MF,Australia,76.0,82.0,62.0,74.0,82.0,44.0,56.0
207,Kasper Peter Schmeichel,GK,Denmark,83.0,12.0,15.0,62.0,40.0,20.0,26.0
208,Michael Krohn-Dehli,MF,Denmark,73.0,71.0,83.0,71.0,73.0,71.0,76.0
209,Jannik Vestergaard,DF,Denmark,79.0,44.0,52.0,29.0,54.0,83.0,75.0
210,Simon Thorup Kjær,DF,Denmark,67.0,70.0,57.0,81.0,64.0,44.0,58.0
211,Jonas Bruun Knudsen,DF,Denmark,69.0,62.0,62.0,73.0,65.0,65.0,41.0
212,Andreas Bødtker Christensen,DF,Denmark,80.0,66.0,22.0,61.0,73.0,82.0,36.0
213,William Vitved Kvist,MF,Denmark,60.0,64.0,52.0,65.0,62.0,53.0,48.0
214,Thomas Joseph Delaney,MF,Denmark,82.0,73.0,68.0,73.0,77.0,85.0,60.0
215,Nicolai Mick Jørgensen,FW,Denmark,77.0,74.0,62.0,65.0,77.0,31.0,68.0
216,Christian Dannemann Eriksen,MF,Denmark,65.0,68.0,40.0,76.0,60.0,24.0,52.0
217,Martin Christensen Braithwaite,FW,Denmark,75.0,75.0,75.0,84.0,76.0,31.0,73.0
218,Kasper Dolberg Rasmussen,FW,Denmark,67.0,38.0,22.0,44.0,55.0,66.0,37.0
219,Mathias Jattah-Njie Jørgensen,DF,Denmark,58.0,59.0,34.0,79.0,59.0,19.0,52.0
220,Henrik Dalsgaard,DF,Denmark,71.0,66.0,52.0,68.0,67.0,75.0,52.0
221,Viktor Gorridsen Fischer,FW,Denmark,77.0,79.0,65.0,82.0,79.0,34.0,62.0
222,Jonas Bybjerg Lössl,GK,Denmark,76.0,15.0,13.0,32.0,19.0,20.0,12.0
223,Jens Stryger Larsen,DF,Denmark,66.0,71.0,64.0,75.0,67.0,23.0,71.0
224,Lukas Reiff Lerager,MF,Denmark,75.0,68.0,43.0,63.0,74.0,75.0,48.0
225,Lasse Schöne,MF,Denmark,77.0,76.0,86.0,68.0,81.0,79.0,76.0
226,Yussuf Yurary Poulsen,FW,Denmark,80.0,75.0,43.0,75.0,75.0,48.0,59.0
227,Andreas Evald Cornelius,FW,Denmark,74.0,66.0,56.0,49.0,72.0,28.0,65.0
228,Frederik Riis Rønnow,GK,Denmark,75.0,13.0,7.0,34.0,12.0,12.0,17.0
229,Pione Sisto Ifolo Emirmija,FW,Denmark,78.0,86.0,75.0,82.0,80.0,51.0,66.0
230,Hugo Hadrien Dominique Lloris,GK,France,88.0,10.0,10.0,55.0,34.0,27.0,40.0
231,Benjamin Jacques Marcel Pavard,DF,France,79.0,66.0,51.0,68.0,76.0,82.0,51.0
232,Presnel Kimpembe,DF,France,83.0,58.0,32.0,74.0,78.0,83.0,50.0
233,Raphaël Xavier Varane,DF,France,86.0,57.0,54.0,63.0,77.0,82.0,43.0
234,Samuel Yves Um Titi,DF,France,87.0,69.0,62.0,68.0,77.0,87.0,61.0
235,Paul Labile Pogba,MF,France,88.0,87.0,82.0,76.0,90.0,64.0,82.0
236,Antoine Griezmann,FW,France,89.0,87.0,84.0,90.0,90.0,49.0,83.0
237,Thomas Benoît Lemar,FW,France,83.0,85.0,81.0,87.0,86.0,66.0,68.0
238,Olivier Jonathan Giroud,FW,France,82.0,70.0,65.0,57.0,83.0,42.0,83.0
239,Kylian Mbappé Lottin,FW,France,88.0,90.0,63.0,92.0,91.0,38.0,70.0
240,Masour Ousmane Dembélé,FW,France,77.0,75.0,35.0,77.0,79.0,22.0,82.0
241,Corentin Tolisso,MF,France,83.0,77.0,73.0,75.0,81.0,76.0,70.0
242,N'Golo Kanté,MF,France,89.0,79.0,49.0,82.0,80.0,92.0,54.0
243,Blaise Matuidi,MF,France,85.0,78.0,52.0,83.0,79.0,86.0,56.0
244,Steven Nkemboanza Mike Christopher Nzonzi,MF,France,81.0,70.0,40.0,36.0,81.0,83.0,57.0
245,Steve Mandanda Mpidi,GK,France,82.0,15.0,12.0,52.0,17.0,23.0,11.0
246,Adil Rami,DF,France,80.0,56.0,55.0,54.0,68.0,78.0,48.0
247,Nabil Fekir,FW,France,84.0,90.0,79.0,84.0,89.0,28.0,76.0
248,Djibril Sidibé,DF,France,79.0,77.0,73.0,70.0,78.0,75.0,43.0
249,Florian Tristan Mariano Thauvin,FW,France,84.0,85.0,72.0,86.0,86.0,42.0,74.0
250,Lucas François Bernard Hernandez,DF,France,83.0,65.0,39.0,70.0,79.0,82.0,42.0
251,Benjamin Mendy,DF,France,81.0,80.0,34.0,68.0,79.0,79.0,50.0
252,Alphonse Francis Areola,GK,France,81.0,12.0,16.0,53.0,22.0,23.0,25.0
253,Pedro David Gallese Quiroz,GK,Peru,73.0,60.0,58.0,78.0,74.0,72.0,64.0
254,Alberto Junior Rodríguez Valdelomar,DF,Peru,68.0,11.0,13.0,49.0,19.0,11.0,15.0
255,Aldo Sebastián Corzo Chávez,DF,Peru,73.0,73.0,66.0,73.0,67.0,48.0,68.0
